"Time","T0129",""
"and","500.00",""
"Date","Dir. Vento (�)",""
"","Mean","Qual"
00:00:00 28/01/2014,          38,      1
00:00:00 29/01/2014,         353,      1
00:00:00 30/01/2014,         328,    140
00:00:00 31/01/2014,         333,    140
00:00:00 01/02/2014,         322,      1
00:00:00 02/02/2014,         340,      1
00:00:00 03/02/2014,         342,      1
00:00:00 04/02/2014,         320,      1
00:00:00 05/02/2014,          69,      1
00:00:00 06/02/2014,          31,      1
00:00:00 07/02/2014,         356,      1
00:00:00 08/02/2014,         321,      1
00:00:00 09/02/2014,         327,      1
00:00:00 10/02/2014,         332,      1
00:00:00 11/02/2014,         338,      1
00:00:00 12/02/2014,           7,      1
00:00:00 13/02/2014,         345,      1
00:00:00 14/02/2014,         349,      1
00:00:00 15/02/2014,          13,      1
00:00:00 16/02/2014,          16,      1
00:00:00 17/02/2014,         346,      1
00:00:00 18/02/2014,          17,      1
00:00:00 19/02/2014,         328,      1
00:00:00 20/02/2014,         339,      1
00:00:00 21/02/2014,         333,      1
00:00:00 22/02/2014,         326,      1
00:00:00 23/02/2014,           2,      1
00:00:00 24/02/2014,         355,      1
00:00:00 25/02/2014,           6,      1
00:00:00 26/02/2014,         331,      1
00:00:00 27/02/2014,          62,      1
00:00:00 28/02/2014,          86,      1
00:00:00 01/03/2014,          29,      1
00:00:00 02/03/2014,          60,      1
00:00:00 03/03/2014,          62,      1
00:00:00 04/03/2014,          29,      1
00:00:00 05/03/2014,          36,      1
00:00:00 06/03/2014,         346,      1
00:00:00 07/03/2014,         359,      1
00:00:00 08/03/2014,         346,      1
00:00:00 09/03/2014,           1,      1
00:00:00 10/03/2014,           9,      1
00:00:00 11/03/2014,          28,      1
00:00:00 12/03/2014,          12,      1
00:00:00 13/03/2014,         360,      1
00:00:00 14/03/2014,         360,      1
00:00:00 15/03/2014,          11,      1
00:00:00 16/03/2014,         130,      1
00:00:00 17/03/2014,         330,      1
00:00:00 18/03/2014,           3,      1
00:00:00 19/03/2014,         330,      1
00:00:00 20/03/2014,         354,      1
00:00:00 21/03/2014,          19,      1
00:00:00 22/03/2014,          90,      1
00:00:00 23/03/2014,         312,      1
00:00:00 24/03/2014,           1,      1
00:00:00 25/03/2014,         346,      1
00:00:00 26/03/2014,         302,      1
00:00:00 27/03/2014,         353,      1
00:00:00 28/03/2014,         349,      1
00:00:00 29/03/2014,         349,      1
00:00:00 30/03/2014,         352,      1
00:00:00 31/03/2014,           2,      1
00:00:00 01/04/2014,           1,      1
00:00:00 02/04/2014,          13,      1
00:00:00 03/04/2014,          92,      1
00:00:00 04/04/2014,          59,      1
00:00:00 05/04/2014,         357,      1
00:00:00 06/04/2014,         349,      1
00:00:00 07/04/2014,           3,      1
00:00:00 08/04/2014,         345,      1
00:00:00 09/04/2014,         337,      1
00:00:00 10/04/2014,           4,      1
00:00:00 11/04/2014,          48,      1
00:00:00 12/04/2014,          71,      1
00:00:00 13/04/2014,          70,      1
00:00:00 14/04/2014,         349,      1
00:00:00 15/04/2014,         354,      1
00:00:00 16/04/2014,         325,      1
00:00:00 17/04/2014,         325,      1
00:00:00 18/04/2014,           4,      1
00:00:00 19/04/2014,         317,      1
00:00:00 20/04/2014,          46,      1
00:00:00 21/04/2014,         320,      1
00:00:00 22/04/2014,         339,      1
00:00:00 23/04/2014,          50,      1
00:00:00 24/04/2014,          18,      1
00:00:00 25/04/2014,          12,      1
00:00:00 26/04/2014,          68,      1
00:00:00 27/04/2014,         334,      1
00:00:00 28/04/2014,         330,      1
00:00:00 29/04/2014,          41,      1
00:00:00 30/04/2014,         334,      1
00:00:00 01/05/2014,          70,      1
00:00:00 02/05/2014,          12,      1
00:00:00 03/05/2014,          15,      1
00:00:00 04/05/2014,         320,      1
00:00:00 05/05/2014,         347,      1
00:00:00 06/05/2014,         359,      1
00:00:00 07/05/2014,         357,      1
00:00:00 08/05/2014,          13,      1
00:00:00 09/05/2014,         344,      1
00:00:00 10/05/2014,           9,      1
00:00:00 11/05/2014,          90,      1
00:00:00 12/05/2014,         129,      1
00:00:00 13/05/2014,         318,      1
00:00:00 14/05/2014,         337,      1
00:00:00 15/05/2014,           7,      1
00:00:00 16/05/2014,          65,      1
00:00:00 17/05/2014,         350,      1
00:00:00 18/05/2014,          71,      1
00:00:00 19/05/2014,         119,      1
00:00:00 20/05/2014,          51,      1
00:00:00 21/05/2014,          69,      1
00:00:00 22/05/2014,          19,      1
00:00:00 23/05/2014,         275,      1
00:00:00 24/05/2014,          73,      1
00:00:00 25/05/2014,          72,      1
00:00:00 26/05/2014,         350,      1
00:00:00 27/05/2014,         303,      1
00:00:00 28/05/2014,         339,      1
00:00:00 29/05/2014,          57,      1
00:00:00 30/05/2014,         346,      1
00:00:00 31/05/2014,         233,      1
00:00:00 01/06/2014,          86,      1
00:00:00 02/06/2014,         218,      1
00:00:00 03/06/2014,         106,      1
00:00:00 04/06/2014,          45,      1
00:00:00 05/06/2014,          64,      1
00:00:00 06/06/2014,         360,      1
00:00:00 07/06/2014,           9,      1
00:00:00 08/06/2014,           6,      1
00:00:00 09/06/2014,          80,    140
00:00:00 10/06/2014,          73,    140
00:00:00 11/06/2014,         359,      1
00:00:00 12/06/2014,          19,      1
00:00:00 13/06/2014,          29,      1
00:00:00 14/06/2014,         162,      1
00:00:00 15/06/2014,          32,      1
00:00:00 16/06/2014,         208,      1
00:00:00 17/06/2014,         104,      1
00:00:00 18/06/2014,          16,      1
00:00:00 19/06/2014,          23,      1
00:00:00 20/06/2014,         333,      1
00:00:00 21/06/2014,         131,      1
00:00:00 22/06/2014,         113,      1
00:00:00 23/06/2014,          66,      1
00:00:00 24/06/2014,         332,      1
00:00:00 25/06/2014,          18,      1
00:00:00 26/06/2014,          48,      1
00:00:00 27/06/2014,         134,      1
00:00:00 28/06/2014,         153,      1
00:00:00 29/06/2014,         139,      1
00:00:00 30/06/2014,         328,      1
00:00:00 01/07/2014,         283,      1
00:00:00 02/07/2014,         321,      1
00:00:00 03/07/2014,         351,      1
00:00:00 04/07/2014,          11,      1
00:00:00 05/07/2014,         342,      1
00:00:00 06/07/2014,          69,      1
00:00:00 07/07/2014,          75,      1
00:00:00 08/07/2014,         318,      1
00:00:00 09/07/2014,         299,      1
00:00:00 10/07/2014,          93,      1
00:00:00 11/07/2014,         340,      1
00:00:00 12/07/2014,         119,      1
00:00:00 13/07/2014,         319,      1
00:00:00 14/07/2014,          34,      1
00:00:00 15/07/2014,          24,      1
00:00:00 16/07/2014,          57,      1
00:00:00 17/07/2014,         322,      1
00:00:00 18/07/2014,          30,      1
00:00:00 19/07/2014,          91,      1
00:00:00 20/07/2014,          59,      1
00:00:00 21/07/2014,         358,      1
00:00:00 22/07/2014,         350,      1
00:00:00 23/07/2014,          66,      1
00:00:00 24/07/2014,          78,      1
00:00:00 25/07/2014,          15,      1
00:00:00 26/07/2014,           5,      1
00:00:00 27/07/2014,          23,      1
00:00:00 28/07/2014,          21,      1
00:00:00 29/07/2014,         326,      1
00:00:00 30/07/2014,          16,      1
00:00:00 31/07/2014,          27,      1
00:00:00 01/08/2014,         326,      1
00:00:00 02/08/2014,         332,      1
00:00:00 03/08/2014,          23,      1
00:00:00 04/08/2014,          23,      1
00:00:00 05/08/2014,         350,      1
